               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10845,            0.020242,                   0,            0.013333,             0.34286,            0.018274,           0.0037228,            0.098942,            0.082936,                   0,            0.070811,           0.0032432,           0.0032432
                   1,            0.068764,            0.019796,                   0,            0.099013,            0.085714,            0.053248,             0.01626,            0.092789,            0.071606,                   0,            0.040752,           0.0065174,           0.0065174
                   2,            0.062181,            0.017169,                   0,             0.40004,             0.14286,             0.14145,            0.038312,            0.088329,            0.069673,                   0,            0.010632,           0.0097315,           0.0097315
                   3,            0.057231,            0.013234,                   0,             0.22364,             0.22857,             0.13056,            0.049785,            0.078118,            0.084201,                   0,             0.00973,             0.00973,             0.00973
                   4,            0.051563,            0.011596,                   0,             0.25092,             0.37143,             0.26432,             0.12381,            0.073195,            0.079338,                   0,             0.00973,             0.00973,             0.00973
                   5,             0.04812,            0.010886,                   0,             0.32541,             0.22076,             0.17613,            0.071578,            0.073198,            0.082699,                   0,             0.00964,             0.00964,             0.00964
                   6,            0.046027,              0.0103,                   0,             0.36234,             0.22857,             0.23151,             0.10287,            0.066818,            0.086595,                   0,             0.00955,             0.00955,             0.00955
                   7,            0.044101,            0.010103,                   0,             0.67264,             0.17143,             0.20097,            0.072246,            0.077375,            0.092242,                   0,             0.00946,             0.00946,             0.00946
                   8,            0.043518,           0.0098475,                   0,             0.23993,             0.37143,             0.19433,            0.083198,             0.07327,             0.08854,                   0,             0.00937,             0.00937,             0.00937
                   9,            0.041945,           0.0095161,                   0,             0.29146,             0.28571,             0.23612,             0.10576,            0.074267,            0.088708,                   0,             0.00928,             0.00928,             0.00928
                  10,            0.040965,            0.009222,                   0,              0.3505,             0.22857,             0.19487,            0.096925,            0.073312,             0.09214,                   0,             0.00919,             0.00919,             0.00919
                  11,            0.039051,           0.0093712,                   0,             0.26624,             0.22857,             0.14259,            0.054667,            0.071609,            0.098032,                   0,              0.0091,              0.0091,              0.0091
                  12,            0.037809,           0.0098034,                   0,              0.1591,                 0.2,             0.12529,            0.056455,            0.071862,             0.10602,                   0,             0.00901,             0.00901,             0.00901
